fecha,ticker,panel,price,technical_value,parity,tir,tna,tem,tna_360,tem_360,duration,change_pct,volume,source
2026-02-19,AL29D,bonares,60.4547,70.0792817679558,86.26615238463145,9.498843981153431,9.075508695032708,0.7486278116690892,9.108777404005686,0.7590647836671405,1.788555369533564,,,lseg_backfill
2026-02-19,AL41D,bonares,71.8986,100.396408839779,71.61471294729456,9.569066739932236,9.13963518723504,0.7539367551733456,9.173376264983446,0.7644480220819538,6.401626156674447,,,lseg_backfill
2026-02-19,AN29D,bonares,91.8718,100.0,91.8718,8.684085586779815,8.328469106535398,0.6868013591252886,8.356480845561887,0.6963734037968239,3.455206948414214,,,lseg_backfill
2026-02-19,GD29D,bonares,88.9889,70.0792817679558,126.98317927209511,-10.752103410590273,-11.373460960267812,-0.930593609593544,-11.32148830789248,-0.94345735899104,1.992599768050984,,,lseg_backfill
2026-02-19,GD35D,bonares,77.3448,100.46662983425416,76.9855623977836,9.496453797687842,9.073325289522538,0.7484470553103417,9.106577973843688,0.7588814978203073,5.879083785806235,,,lseg_backfill
2026-02-19,GD38D,bonares,80.5694,100.56509834254145,80.11666207053986,9.540676288739716,9.113714340567958,0.7517907716033667,9.147264078178363,0.7622720065148636,5.09963569601382,,,lseg_backfill
2026-02-19,GD41D,bonares,71.8986,100.396408839779,71.61471294729456,9.569066739932236,9.13963518723504,0.7539367551733456,9.173376264983446,0.7644480220819538,6.401626156674447,,,lseg_backfill
2026-02-19,GD46D,bonares,73.3448,93.50491712707183,78.43951126155802,8.357107172931604,8.027095974316612,0.6618695152270648,8.053115095630226,0.6710929246358521,6.893961266584493,,,lseg_backfill
2026-02-20,AE38D,bonares,79.1111,100.57891049723756,78.65575358581042,9.940802829695793,9.478418362859564,0.7819886337977922,9.514710387758464,0.7928925323132052,5.061315591365118,,,lseg_backfill
2026-02-20,AL29D,bonares,60.7106,70.08121546961326,86.62891987985526,9.255717795114748,8.853171848127728,0.7302229460087961,8.884828625177388,0.740402385431449,1.7879866642315092,,,lseg_backfill
2026-02-20,AL30D,bonares,60.191,72.06265193370166,83.52592970818824,9.505916248452264,9.08196885270096,0.7491626269290563,9.115284997320572,0.7596070831100477,2.2279190058724727,,,lseg_backfill
2026-02-20,AL35D,bonares,76.97919999999999,100.47801104972376,76.61298148298849,9.58951299937625,9.15829873626739,0.7554819353634334,9.192177920597455,0.7660148267164546,5.8717022133975725,,,lseg_backfill
